question,ground_truth,source_file,notes
"What types of liability are not limited by Google's Terms of Service?","These terms do not limit liability for fraud or fraudulent misrepresentation, death or personal injury caused by negligence, gross negligence, or willful misconduct.","google_terms_of_service",""
"What must business users or organizations indemnify Google for?","To the extent allowed by applicable law, business users or organizations must indemnify Google and its directors, officers, employees, and contractors for any third-party legal proceedings arising out of or relating to their unlawful use of the services or violation of these terms or service-specific additional terms.","google_terms_of_service",""
"What should users do if Google's services do not meet the quality level described in its warranty?","If Google's services do not meet the quality level described in the warranty, users should tell Google, and Google will work with them to try to resolve the issue.","google_terms_of_service",""
"Can Google's services be relied upon for medical, legal, financial, or other professional advice?","No. Any content regarding medical, legal, financial, or other professional topics is provided for informational purposes only and is not a substitute for advice from a qualified professional.","google_terms_of_service",""
"Who provides Google services under these Terms of Service?","Google services are provided by Google LLC, organized under the laws of the State of Delaware, USA, and operating under the laws of the USA.","google_terms_of_service",""
"What is required for a child who is under the age required to manage their own Google Account?","If a child is under the age required to manage their own Google Account, they must have their parent or legal guardian’s permission to use a Google Account.","google_terms_of_service",""
"What information will Google generally provide before taking action in response to a problem?","Before taking action, Google will provide advance notice when reasonably possible, describe the reason for its action, and give the user an opportunity to clarify the issue and address it.","google_terms_of_service",""
"Under what circumstances may Google remove a user's content?","Google may remove some or all of a user's content if it reasonably believes the content breaches the terms, service-specific additional terms or policies, violates applicable law, or could harm users, third parties, or Google.","google_terms_of_service",""
"What are some characteristics of the software license Google grants to users?","The software license Google grants is worldwide, non-exclusive, royalty-free, personal, and non-assignable.","google_terms_of_service",""
"What are users not allowed to do with Google's services or software?","Users may not copy, modify, distribute, sell, or lease any part of Google's services or software.","google_terms_of_service",""
"What law governs disputes arising out of or relating to Google's Terms of Service?","California law will govern all disputes arising out of or relating to these terms, service-specific additional terms, or any related services, regardless of conflict of laws rules.","google_terms_of_service",""
"Where are disputes under Google's Terms of Service generally resolved?","These disputes will be resolved exclusively in the federal or state courts of Santa Clara County, California, USA, and both the user and Google consent to personal jurisdiction in those courts.","google_terms_of_service",""
"What types of liabilities will Google not be responsible for under these terms?","Google will not be responsible for loss of profits, revenues, business opportunities, goodwill, or anticipated savings, or for indirect or consequential loss.","google_terms_of_service",""
"What is the limit of Google's total liability under these terms?","Except as stated in the For all users section, Google's total liability arising out of or relating to these terms is limited to the greater of US$500 or 125% of the fees paid to use the relevant services in the 12 months before the breach.","google_terms_of_service",""
